ID do pacote,N.º Rota,Parada,Ponto,Data de Inbound,Altura,Largura,Comprimento,Localização do pacote,Detalhe do pacote
46511533835,Y4_AM100,253,A,,29,4,33,Caminho para a estação,
46501555602,Y4_AM100,255,A,,15,13,19,Caminho para a estação,
46502033982,Y4_AM100,256,A,,27,24,45,Caminho para a estação,
46502692811,Y4_AM100,256,A,,14,11,15,Caminho para a estação,
46510379728,Y4_AM100,256,A,,51,36,62,Caminho para a estação,
46501301136,Y4_AM100,258,A,,16,3,21,Caminho para a estação,
46504734073,Y4_AM100,261,A,,16,4,20,Caminho para a estação,
46509839092,Y4_AM100,263,A,,3,28,20,Caminho para a estação,
46508203822,Y4_AM100,267,A,,12,6,18,Caminho para a estação,
46511273792,Y4_AM100,267,A,,36,20,64,Caminho para a estação,
46494361002,Y4_AM100,268,A,,14,6,37,Caminho para a estação,
46512553402,Y4_AM100,268,A,,7,4,10,Caminho para a estação,
46512655738,Y4_AM100,268,A,,9,3,11,Caminho para a estação,
46501001551,Y4_AM100,271,A,,8,6,18,Caminho para a estação,
46474146332,Y4_AM100,273,A,,20,9,28,Caminho para a estação,
46478048756,Y4_AM100,274,A,,15,5,23,Caminho para a estação,
46493407932,Y4_AM100,274,A,,16,4,20,Caminho para a estação,
46494337412,Y4_AM100,274,A,,15,6,18,Caminho para a estação,
46501041767,Y4_AM100,274,A,,11,4,11,Caminho para a estação,
46502103982,Y4_AM100,274,A,,17,14,24,Caminho para a estação,
46502356612,Y4_AM100,274,A,,17,17,75,Caminho para a estação,
46502641934,Y4_AM100,274,A,,17,7,21,Caminho para a estação,
46503616095,Y4_AM100,274,A,,15,9,16,Caminho para a estação,
46507190688,Y4_AM100,274,A,,9,3,11,Caminho para a estação,
46507887559,Y4_AM100,274,A,,7,7,10,Caminho para a estação,
46507949958,Y4_AM100,274,A,,17,6,20,Caminho para a estação,
46508073505,Y4_AM100,274,A,,7,7,13,Caminho para a estação,
46508624668,Y4_AM100,274,A,,44,9,46,Caminho para a estação,
46508723231,Y4_AM100,274,A,,10,6,10,Caminho para a estação,
46510183078,Y4_AM100,274,A,,20,8,20,Caminho para a estação,
46510593907,Y4_AM100,274,A,,18,8,18,Caminho para a estação,
46511082513,Y4_AM100,274,A,,16,16,76,Caminho para a estação,
46511704338,Y4_AM100,274,A,,9,5,12,Caminho para a estação,
46510746096,Y4_AM100,275,A,,28,7,40,Caminho para a estação,
46508120026,Y4_AM100,276,A,,28,3,47,Caminho para a estação,
46510047883,Y4_AM100,276,A,,22,6,49,Caminho para a estação,
46508824074,Y4_AM100,277,A,,30,9,39,Caminho para a estação,
46510302507,Y4_AM100,277,A,,26,11,33,Caminho para a estação,
46496188875,Y4_AM100,278,A,,5,3,13,Caminho para a estação,
46495701757,Y4_AM100,282,A,,20,12,32,Caminho para a estação,
46447953999,Y4_AM100,283,A,,24,3,25,Caminho para a estação,
46492398397,Y4_AM100,284,A,,24,18,24,Caminho para a estação,
46501590412,Y4_AM100,287,A,,12,6,17,Caminho para a estação,
46506265180,Y4_AM100,290,A,,22,7,24,Caminho para a estação,
46506830134,Y4_AM100,290,A,,17,7,22,Caminho para a estação,
46502529634,Y4_AM100,291,A,,16,11,38,Caminho para a estação,
46446477787,Y4_AM100,292,A,,20,19,45,Caminho para a estação,
46475923611,Y4_AM100,295,A,,62,9,69,Caminho para a estação,
46486879504,Y4_AM100,295,A,,35,10,50,Caminho para a estação,
46504939003,Y4_AM100,295,A,,21,14,29,Caminho para a estação,
46489048974,Y4_AM100,297,A,,8,3,10,Caminho para a estação,
46501171615,Y4_AM100,298,A,,29,3,33,Caminho para a estação,
46508472566,Y4_AM100,300,A,,11,4,28,Caminho para a estação,
46457001969,Y4_AM100,301,A,,21,7,21,Caminho para a estação,
46474719745,Y4_AM100,301,A,,13,12,16,Caminho para a estação,
46503251458,Y4_AM100,302,A,,18,14,24,Caminho para a estação,
